generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
10,15,10
100,15,10
101,15,10
102,15,10
103,15,10
104,15,10
105,15,10
106,15,10
107,15,10
11,15,10
12,11,10
13,23,10
14,23,10
15,23,10
16,29,10
17,29,10
18,29,10
19,11,10
2,15,10
20,29,10
21,11,10
22,29,10
23,11,10
24,29,10
25,13,10
26,13,10
27,13,10
28,13,10
29,11,10
3,17,10
30,13,10
31,11,10
32,13,10
33,11,10
34,13,10
35,13,10
36,13,10
37,13,10
38,21,12
39,21,12
4,17,10
40,21,12
41,21,12
42,21,12
43,21,12
44,21,12
45,21,12
46,21,12
47,21,12
48,21,12
49,21,12
5,17,10
50,21,12
51,21,12
52,21,12
53,21,12
54,21,12
55,21,12
56,21,12
57,21,12
58,21,12
59,21,12
6,17,10
60,21,12
61,21,12
62,15,10
63,15,10
64,15,10
65,15,10
66,15,10
67,15,10
68,15,10
69,15,10
7,17,10
70,15,10
71,15,10
72,15,10
73,15,10
74,15,10
75,15,10
76,15,10
77,15,10
78,15,10
79,15,10
8,15,10
80,15,10
81,15,10
82,15,10
83,15,10
84,15,10
85,15,10
86,15,10
87,15,10
88,15,10
89,15,10
9,15,10
90,15,10
91,15,10
92,15,10
93,15,10
94,15,10
95,15,10
96,15,10
97,15,10
98,15,10
99,15,10

Time elapsed: 249103
Parameters used:
popSize = 50,
keepNBest = 25,
mutationRate = 0.2,
crossoverRate = 0.7,
maxMutation = 0.2,
roundRobin = false
